fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,symbol
2022-12-31,USD,43755000000,12488000000,2577000000,2577000000,978000000,7494000000,31267000000,8800000000,7258000000,17900000000,384000000,17516000000,332000000,None,None,1439000000,2594000000,28443000000,11587000000,2587000000,3609000000,1072000000,1072000000,16724000000,1824000000,12877000000,1072000000,11805000000,12877000000,3334000000,1907000000,15312000000,None,15312000000,153000000,153157924,NOC
2022-09-30,USD,42733000000,12298000000,1666000000,1666000000,989000000,1936000000,30435000000,8325000000,7243000000,17949000000,433000000,17516000000,320000000,None,None,1277000000,2248000000,28790000000,10812000000,2335000000,3107000000,1069000000,1069000000,17892000000,1696000000,12969000000,1069000000,11803000000,14568000000,3539000000,1988000000,13943000000,None,13955000000,154000000,154093656,NOC
2022-06-30,USD,41914000000,11637000000,1169000000,1169000000,909000000,2387000000,30277000000,8125000000,7099000000,18001000000,483000000,17518000000,350000000,None,None,961000000,2243000000,28263000000,8976000000,2098000000,2734000000,14000000,14000000,19156000000,1654000000,12814000000,14000000,12834000000,14502000000,2403000000,1976000000,13651000000,None,13655000000,155000000,154876753,NOC
2022-03-31,USD,41903000000,11556000000,2174000000,2174000000,838000000,1713000000,30347000000,8017000000,6961000000,18056000000,533000000,17523000000,404000000,None,None,713000000,2352000000,28616000000,8850000000,2050000000,2876000000,7000000,7000000,19456000000,1661000000,13807000000,7000000,12825000000,14493000000,2392000000,1991000000,13287000000,None,13277000000,156000000,155581611,NOC
2021-12-31,USD,42579000000,12426000000,3530000000,3530000000,811000000,6959000000,30153000000,7894000000,6819000000,18093000000,578000000,17515000000,418000000,None,None,1126000000,2311000000,29653000000,9530000000,2197000000,3026000000,6000000,6000000,19633000000,1590000000,12783000000,6000000,12777000000,12783000000,2314000000,1997000000,12926000000,None,12913000000,156000000,156284423,NOC
2021-09-30,USD,42346000000,12928000000,4055000000,4055000000,872000000,1590000000,29418000000,7277000000,6811000000,18145000000,629000000,17516000000,406000000,None,None,737000000,2026000000,30929000000,8819000000,2184000000,2594000000,6000000,6000000,22110000000,1367000000,15206000000,6000000,12774000000,14147000000,2230000000,2302000000,11417000000,None,11398000000,159000000,158761485,NOC
2021-06-30,USD,42142000000,12762000000,3941000000,3941000000,863000000,1910000000,29380000000,7164000000,6640000000,18198000000,680000000,17518000000,421000000,None,None,630000000,2010000000,30970000000,8591000000,2001000000,2526000000,6000000,6000000,22379000000,1389000000,15306000000,6000000,12764000000,14159000000,2318000000,2284000000,11172000000,None,11144000000,160000000,160384110,NOC
2021-03-31,USD,41423000000,12253000000,3517000000,3517000000,860000000,1710000000,29170000000,7093000000,6471000000,18250000000,732000000,17518000000,415000000,None,None,647000000,1964000000,30898000000,8367000000,1895000000,2393000000,42000000,42000000,22531000000,1354000000,14942000000,42000000,12764000000,14160000000,2537000000,2196000000,10525000000,None,10487000000,161000000,160960496,NOC
2020-12-31,USD,44469000000,15344000000,4907000000,4907000000,759000000,6641000000,29139000000,7071000000,6335000000,18301000000,783000000,17518000000,396000000,None,None,1402000000,1909000000,33890000000,9580000000,1806000000,2517000000,742000000,742000000,24310000000,1343000000,15003000000,742000000,14261000000,15003000000,3002000000,2208000000,10579000000,None,10482000000,167000000,166717179,NOC
2020-09-30,USD,44772000000,14552000000,4995000000,4995000000,853000000,1958000000,30220000000,7187000000,6259000000,19555000000,844000000,18711000000,363000000,None,None,1023000000,1811000000,34305000000,10109000000,2197000000,2235000000,1806000000,1806000000,24196000000,1292000000,20906000000,1806000000,14260000000,17358000000,3830000000,2216000000,10467000000,None,10394000000,167000000,166715510,NOC
